DOI,Printer ,Model,Bioink ,,,,,,,,,,,,Cell composition,,Needle ,,,Pressure ,,,,Temperature (°C),,,,Speed (mm/s),,Flow adjustment (s),,Crosslinking,,,,,,,,,,,Notes,
10.1002/term.1682,Other,Multihead Deposition System,Alginate,6,wt%,,,,,,,,,,Primary Human Nasal Septal Cartilage Chondrocyte,1,Conical,250,µm,20,kPa,,,22,,,,6.666667,,,,Chemical,CaCl2,100mM,,5,,,,,,,Alginate was dispensed in the lines between the lines of the PCL layers,
10.1016/j.bprint.2020.e00076,EnvisionTEC,3D-Bioploter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,18,Gauge,6.5,Bar,,,140,,,,0.5,,1,1,,,,,,,,,,50000,,PCL molecular weight is 50KDa. PCL was engraved and then filled with low-viscosity photocurable inks(GelMA or E-Shell),
10.1016/j.bprint.2020.e00076,EnvisionTEC,3D-Bioploter,E-Shell 300,100,wt%,,,,,,,,,,,,Conical,27,Gauge,0.3,Bar,,,22,,,,20,,0.2,0.1,,,,,,,,,,,,,
10.1016/j.bprint.2020.e00076,EnvisionTEC,3D-Bioploter,Gelatin Methacrylated,7.5,wt%,,,,,,,,,,L929 Fibroblasts,1,Conical,27,Gauge,0.4,Bar,,,24,,,,4,,0.2,0.2,,,,,,Irgacure 2959,0.5 wt%,30,5,,,,
10.1002/adfm.201801331,Other,Modified Extruder,Hyaluronic Acid Adamantane ,2,wt%,Hyaluronic Acid β-cyclodextrin ,2,wt%,,,,,,,,,Cylindrical,30,Gauge,172,kPa,,,25,,,,0.5,0.416667,,,,,,,,,,,,,,Used as a sacrificial ink to create a channel.,
10.1002/adfm.201801331,Other,Modified Extruder,Hyaluronic Acid β-cyclodextrin ,1.5,wt%,Hyaluronic Acid Adamantane Norbornene,1.5,wt%,,,,,,,,,Cylindrical,30,Gauge,172,kPa,,,25,,,,0.5,0.416667,,,,,,,,Irgacure 2959,.05wt%,300,2,,,Supplemented with 4 mM thiolated RGD peptide and 1.2mM thiolated crosslinker. Crosslinking occurred postprinting. ,
10.1002/adhm.201901794,Cellink,BioX 3D Printer,Gelatin Methacrylated,10,wt%,Calcium Peroxide,0.5,wt%,,,,,,,NIH 3T3 Fibroblasts,5,Cylindrical,23,Gauge,80,kPa,,,4,,,,20,,,,,,,,,Irgacure 2959,.5wt%,40,4,,,,
10.1016/j.actbio.2014.02.041,SYS+ENG,BioScaffolder,PCL,50,wt%,pHMGCL Methacrylated,50,wt%,,,,,,,,,Cylindrical,25,Gauge,500,kPa,,,140,,,,4.16667,,,,,,,,,,,,,79100,,pHMGCL stands for poly(hydroxymethylglycolide-co-e-caprolactone). 20 C air was blown over the construct to facilitate solidification. PCL has a 79.1 kDA molecular weight.,
10.1016/j.actbio.2014.02.041,SYS+ENG,BioScaffolder,PCL,50,wt%,pHMGCL,50,wt%,,,,,,,,,Cylindrical,25,Gauge,500,kPa,,,140,,,,4.16667,,,,,,,,,,,,,79100,,pHMGCL stands for poly(hydroxymethylglycolide-co-e-caprolactone). 20 C air was blown over the construct to facilitate solidification. PCL has a 79.1 kDA molecular weight.,
10.1016/j.actbio.2014.02.041,SYS+ENG,BioScaffolder,PCL,100,wt%,,,,,,,,,,,,Cylindrical,25,Gauge,500,kPa,,,160,,,,4.1667,,,,,,,,,,,,,79100,,PCL has a 79.1 kDA molecular weight.,
10.1021/acsbiomaterials.8b00903,Cellink,Biobot 1,Agarose,3,wt%,Alginate,2,wt%,,,,,,,,,Cylindrical,30,Gauge,75,psi,65,psi,37,,,,,,,,,,,,,,,,,,,,
10.1016/j.msec.2019.110205,Zhejan Flashforge 3D Technology,Creator Pro Printer,PVA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,NA,,,,180,,,,70,,,,,,,,,,,,,,,PVU was used as a sacrificial mold. ,
10.1016/j.msec.2019.110205,Zhejan Flashforge 3D Technology,Creator Pro Printer,Alginate,20,mg/ml,Agarose,18,mg/ml,Platelet rich plasma (PRP),20% v/v,,,,,H9C2 Myoblasts,,Cylindrical,1600,µm,0.3,Bar,,,37,,37,37,70,,,,,,,,,,,,,,,,
10.1016/j.msec.2019.110205,Zhejan Flashforge 3D Technology,Creator Pro Printer,Alginate,20,mg/ml,Agarose,18,mg/ml,Platelet rich plasma (PRP),20% v/v,,,,,Human Umbilical Vein Endothelial Cells,4,Cylindrical,1600,µm,0.3,Bar,,,37,,37,37,70,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,8,wt%,,,,,,,,,,,,Conical,25,Gauge,60,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,6,wt%,Alginate,3,wt%,,,,,,,,,Conical,25,Gauge,70,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,5,wt%,Alginate,6,wt%,,,,,,,,,Conical,25,Gauge,90,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,4,wt%,Alginate,7,wt%,,,,,,,,,Conical,25,Gauge,70,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,4,wt%,Alginate,8,wt%,,,,,,,,,Conical,25,Gauge,85,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1088/1758-5090/aacdc7,Other,Custom-made integrated tissue-organ printer,Gelatin,4,wt%,Alginate,9,wt%,,,,,,,,,Conical,25,Gauge,70,kPa,,,21,,,,3.3333,,,,,,,,,,,,,,,,
10.1016/j.bprint.2019.e00053,Allevi,Allevi 2,Alginate,2,wt%,,,,,,,,,,SK-N-BE(2) Neuroblasts,1,Cylindrical,30,Gauge,12.5,psi,10,psi,25,,,,8,,,,,,,,,,,,,,,Gelatin support gel was used via the FRESH method,
10.1016/j.dental.2019.08.114,GeSiM,BioScaffolder 3.1,Gelatin Methacrylated,12.5,wt%,,,,,,,,,,Primary Human Periodontal Ligament Cells,2,Conical,25,Gauge,150,kPa,120,kPa,25,,,,12,10,,,,,,,,LAP,.05wt%,20,10,,,Crosslinking occurred post printing.,
10.1016/j.dental.2019.08.114,GeSiM,BioScaffolder 3.2,Gelatin Methacrylated,15,wt%,,,,,,,,,,,,Conical,25,Gauge,280,kPa,250,kPa,25,,,,10,8,,,,,,,,,,,,,,,
10.1016/j.dental.2019.08.114,GeSiM,BioScaffolder 3.3,Gelatin Methacrylated,10,wt%,,,,,,,,,,,,Conical,27,Gauge,200,kPa,160,kPa,25,,,,8,5,,,,,,,,,,,,,,,
10.1016/j.dental.2019.08.114,GeSiM,BioScaffolder 3.4,Gelatin Methacrylated,12.5,wt%,,,,,,,,,,Primary Human Periodontal Ligament Cells,2,Conical,27,Gauge,250,kPa,230,kPa,25,,,,12,10,,,,,,,,LAP,.05wt%,20,10,,,Crosslinking occurred post printing.,
10.1016/j.dental.2019.08.114,GeSiM,BioScaffolder 3.5,Gelatin Methacrylated,15,wt%,,,,,,,,,,,,Conical,27,Gauge,450,kPa,420,kPa,25,,,,10,8,,,,,,,,,,,,,,,
10.1021/acsami.7b04216,regenHU,BioFactory,Alginate,3,wt%,,,,,,,,,,,,Conical,25,Gauge,0.3,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Methylcellulose,1,wt%,,,,,,,,,,,,Conical,25,Gauge,0.3,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Alginate,3,wt%,Methylcellulose,1,wt%,,,,,,,,,Conical,25,Gauge,0.8,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Methylcellulose,3,wt%,,,,,,,,,,,,Conical,25,Gauge,2,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Alginate,3,wt%,Methylcellulose,3,wt%,,,,,,,,,Conical,25,Gauge,2,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Methylcellulose,9,wt%,,,,,,,,,,,,Conical,25,Gauge,4,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,Constructs were submerged in A 40mg/ml CaCl2 bath.,
10.1021/acsami.7b04216,regenHU,BioFactory,Alginate,3,wt%,Methylcellulose,9,wt%,,,,,,,,,Conical,25,Gauge,4,Bar,,,25,,,,,,,,Chemical,CaCl2,40 mg/ml,,10,,,,,,,"Constructs were submerged in A 40mg/ml CaCl2 bath. Furthermore, a trisodium citrate solution with L929 Fibroblasts were printed between each layer.",
10.1021/acs.biomac.8b00696,GeSiM,BioScaffolder,Alginate Norbornene,2,wt%,PEG dithiol 1500 ,10,mol %,,,,,,,L929 Fibroblasts,3,Cylindrical,25,Gauge,30,kPa,,,25,,,,10,,,,,,,,,LAP,2 mM,,10,,,Bioink  conjugated with Thiol-RGD,
10.1021/acs.biomac.8b00696,GeSiM,BioScaffolder,Alginate Norbornene,2,wt%,PEG 4-arm 5000,10,mol %,,,,,,,ATDC5 Chondrocytes,3,Cylindrical,25,Gauge,30,kPa,,,25,,,,10,5,,,,,,,,LAP,2 mM,,10,,,Bioink  conjugated with Thiol-RGD,
10.1038/s41598-018-26407-3,Regenovo,3D Bioprinter,Alginate,8,wt%,Gelatin,20,wt%,,,,,,,Primary Mouse Epidermal Stem Cells,1,Conical,340,µm,200,kPa,,,10,,10,,6.5,,,,Chemical,CaCl2,10%,0,10,,,,,,,PBS was used as a solvent with an ionic strength of .082 M. Construct crosslinked in 10% CaCl2,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.25,wt%,Gelatin,4,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,35,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.25,wt%,Gelatin,4,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,35,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.5,wt%,Gelatin,4,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,60,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.5,wt%,Gelatin,4,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,60,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3,wt%,Gelatin,4,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,20,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3,wt%,Gelatin,4,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,20,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.75,wt%,Gelatin,4,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,90,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,3.75,wt%,Gelatin,4,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,90,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,7,wt%,Gelatin,3,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,115,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,7,wt%,Gelatin,3,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,115,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,6,wt%,Gelatin,4,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,145,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,6,wt%,Gelatin,4,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,145,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,4,wt%,Gelatin,8,wt%,,,,,,,EGFR T790M Non Small Cell Lung Carcinoma PDX,10,Cylindrical,22,Gauge,250,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1038/s41598-019-55034-9,Cellink,INKREDIBLE,Alginate,4,wt%,Gelatin,8,wt%,,,,,,,AA0022 Lung Cancer Associated Fibroblasts,10,Cylindrical,22,Gauge,250,kPa,,,25,,,,,,,,Chemical,CaCl2,100 mM,,,,,,,,,100mM CaCl2 was used to crosslink the scaffold post-processing.,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,6,wt%,Gelatin,2,wt%,,,,,,,,,Conical,27,Gauge,0.47,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,3,wt%,Gelatin,2,wt%,,,,,,,RSC96 Neuronal Schwann Cells,1,Conical,27,Gauge,0.12,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,2,wt%,Gelatin,2,wt%,,,,,,,RSC96 Neuronal Schwann Cells,1,Conical,27,Gauge,0.1,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,2,wt%,Gelatin,3,wt%,,,,,,,RSC96 Neuronal Schwann Cells,1,Conical,27,Gauge,0.3,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,2,wt%,Gelatin,6,wt%,,,,,,,,,Conical,27,Gauge,2.15,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1021/acsbiomaterials.9b00167,EnvisionTEC,3D-Bioplotter, Alginate Dialdehyde,3.75,wt%,Gelatin,3.75,wt%,,,,,,,,,Conical,27,Gauge,0.75,Bar,,,26,,,,25,,,,Chemical,CaCl2,100mM,25,,,,,,,,Printed into a 100mM CaCl2 bath coated with PEI. ,
10.1088/1758-5090/aa90d7,EnvisionTEC,3D-Bioplotter,Alginate,3.5,wt%,,,,,,,,,,Human Chondrocytes,3,Conical,21,Gauge,1,Bar,,,25,,,,25,,,,,,,,,,,,,,,.2M CaCl2 was sprayed over the scaffold,
10.1088/1758-5090/aa90d7,EnvisionTEC,3D-Bioplotter,Alginate,3.5,wt%,PLA Fibers,1,wt%,,,,,,,Human Chondrocytes,3,Conical,21,Gauge,1,Bar,,,25,,,,25,,,,,,,,,,,,,,,.2M CaCl2 was sprayed over the scaffold,
10.1088/1758-5090/aa90d7,EnvisionTEC,3D-Bioplotter,Alginate,2.5,wt%,PLA Fibers,2,wt%,,,,,,,Human Chondrocytes,3,Conical,21,Gauge,1,Bar,,,25,,,,25,,,,,,,,,,,,,,,.2M CaCl2 was sprayed over the scaffold,
10.1038/s41598-017-04691-9,GeSiM,BioScaffolder 3.1,Gelatin,7,wt%,Alginate,3,wt%,,,,,,,MDA-MB-231 Epithelial Cells,1,Cylindrical,25,Gauge,200,kPa,,,25,,,,5,,,,Chemical,CaCl2,100mM,,1,,,,,,,Scaffolds were rinsed with 100mM CaCl2 solution.,
10.1016/j.bprint.2019.e00045,EnvisionTEC,3D-Bioplotter,Alginate,2,wt%,,,,,,,,,,Primary Rat Schwann Cells,0.2,Conical,200,µm,30,kPa,,,,,,,18,,,,Chemical,CaCl2,50mM,,2,,,,,,,Alginate was printed into a 50 mM CaCl2 bath for crosslinking,
10.1016/j.bprint.2019.e00045,EnvisionTEC,3D-Bioplotter,Alginate RGD/YIGSR,2,wt%,,,,,,,,,,Primary Rat Schwann Cells,0.2,Conical,200,µm,30,kPa,,,,,,,18,,,,Chemical,CaCl2,50mM,,2,,,,,,,Alginate was printed into a 50 mM CaCl2 bath for crosslinking,
10.1016/j.bprint.2019.e00045,EnvisionTEC,3D-Bioplotter,Alginate,2,wt%,,,,,,,,,,Primary Rat Schwann Cells,0.2,Conical,200,µm,20,kPa,,,,,,,12,6,,,Chemical,CaCl2,50mM,,,,,,,,,Alginate was printed into a 50 mM CaCl2 bath for crosslinking,
10.1016/j.bprint.2019.e00045,EnvisionTEC,3D-Bioplotter,Alginate RGD/YIGSR,2,wt%,,,,,,,,,,Primary Rat Schwann Cells,0.2,Conical,200,µm,20,kPa,,,,,,,12,6,,,Chemical,CaCl2,50mM,,2,,,,,,,Alginate was printed into a 50 mM CaCl2 bath for crosslinking,
10.1039/c9tb00669a,Other,3D Bioprinting system,Alginate RGD,1,wt%,Hyaluronic Acid,0.5,wt%,Fibrinogen,10,mg/ml,,,,Primary Rat Schwann Cells,1,Cylindrical,200,µm,10,kPa,,,23,,,,9,4,,,,,,,,,,,,,,Crosslinked with Calcium chloride (100 mM) and Thrombin (25 U/mL),
10.1039/c9tb00669a,Other,3D Bioprinting system,Alginate RGD,1,wt%,Hyaluronic Acid,0.5,wt%,Fibrinogen,40,mg/ml,,,,Primary Rat Schwann Cells,1,Cylindrical,200,µm,30,kPa,,,23,,,,9,4,,,,,,,,,,,,,,Crosslinked with Calcium chloride (100 mM) and Thrombin (25 U/mL),
10.1155/2020/3863428,Other,Custom microxextrusion based bioprinter,Gelatin,20,wt%,Alginate,1.25,wt%,Cellulose Nanofiber,0.25,wt%,,,,Primary Rabbit Fibrochondrocytes,5,Cylindrical,22,Gauge,,,,,25,,4,,3,,,,,,,,,,,,,,,Samples crosslinked with 0.1% w/v CaCl2 for 1 min ,
10.1155/2020/3863428,Other,Custom microxextrusion based bioprinter,Gelatin,20,wt%,Alginate,1.25,wt%,,,,,,,,,Cylindrical,22,Gauge,,,,,25,,4,,3,,,,,,,,,,,,,,,Samples crosslinked with 0.1% w/v CaCl2 for 1 min ,
10.1155/2020/3863428,Other,Custom microxextrusion based bioprinter,Gelatin,10,wt%,Alginate,1.25,wt%,Cellulose Nanofiber,0.25,wt%,,,,,,Cylindrical,22,Gauge,,,,,20,,4,,3,,,,,,,,,,,,,,,Samples crosslinked with 0.1% w/v CaCl2 for 1 min ,
10.1155/2020/3863428,Other,Custom microxextrusion based bioprinter,Gelatin,10,wt%,Alginate,1.25,wt%,,,,,,,,,Cylindrical,22,Gauge,,,,,20,,4,,3,,,,,,,,,,,,,,,Samples crosslinked with 0.1% w/v CaCl2 for 1 min ,
10.1089/ten.tea.2019.0237,EnvisionTEC,3D-Bioplotter,PCL,90,wt%,Hydroxyapatite,10,wt%,,,,,,,,,Cylindrical,700,µm,1.5,Bar,,,110,,,,8,,,,,,,,,,,,,14000,,"PCL Mw = 140,00 Da",
10.1089/ten.tea.2019.0237,EnvisionTEC,3D-Bioplotter,PCL,80,wt%,Hydroxyapatite,20,wt%,,,,,,,,,Cylindrical,700,µm,2.5,Bar,,,120,,,,9,,,,,,,,,,,,,14000,,"PCL Mw = 140,00 Da",
10.1089/ten.tea.2019.0237,EnvisionTEC,3D-Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,700,µm,3.5,Bar,,,130,,,,9,,,,,,,,,,,,,14000,,"PCL Mw = 140,00 Da",
10.1016/j.matlet.2020.127382,Cellink,BioX,Alginate,7,wt%,Gelatin,4,wt%,,,,,,,,,Conical,22,Gauge,130,kPa,110,kPa,25,,,,3,,,,Chemical,CaCl2,420mM,,5,,,,,,,420mM CaCl2 was used to crosslink the constructs.,
10.1016/j.matlet.2020.127382,Avanced Solutions,BioAssembly Bot,Alginate,7,wt%,Gelatin,4,wt%,,,,,,,,,Conical,22,Gauge,207,kPa,138,kPa,25,,,,3,,,,Chemical,CaCl2,420mM,,5,,,,,,,420mM CaCl2 was used to crosslink the constructs.,
10.2217/3dp-2018-0017,Allevi,Biobot 1,Gelatin Methacrylated,15,wt%,,,,,,,,,,Primary Rat Cardiac Myocytes,1,Cylindrical,23,Gauge,23,psi,,,20,,,,2,,,,,,,,,LAP,.5wt%,300,7,,,"Construct crosslinked with LAP (0.5 wt%, 7mW/cm2, 300s) post print",
10.1016/j.msec.2019.110578,RegenHU,3D Discovery,Gelatin Methacrylated,15,wt%,,,,,,,,,,Primary Sheep Chondrocytes,10,Conical,27,Gauge,2,Bar,,,15,,,,10,,,,,,,,,Irgacure 2959,.5wt%,20,31,,,GelMA was printed between PCL layers.,
10.1016/j.msec.2019.110578,RegenHU,3D Discovery,Gelatin Methacrylated,20,wt%,,,,,,,,,,Primary Sheep Chondrocytes,10,Conical,27,Gauge,2,Bar,,,20,,,,10,,,,,,,,,Irgacure 2959,.5wt%,20,31,,,GelMA was printed between PCL layers.,
10.1089/3dp.2018.0175,Allevi,3D Bioprinter,Gelatin Methacrylated,5,wt%,,,,,,,,,,HEK293 Kidney Cells,5,Cylindrical,23,Gauge,3,psi,,,25,,,,12,,,,,,,,,,,,,,,An agarose support slurry was used,
https://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_14_4_9244_Feng_3D_Bioprinting_Molding_Technology_Tissue/7198,Regonovo,3D Bioprinter,Gelatin,5,wt%,Nanocellulose,10,wt%,,,,,,,,,Conical,260,µm,80,kPa,,,20,,,,20,,,,,,,,,,,,,,,,
10.3390/pharmaceutics12060550,Cellink,BioX,Alginate,6,wt%,,,,,,,,,,,,Conical,20,Gauge,10,kPa,,,37,,,,6,,,,Chemical,CaCL2,.5wt%,25,0.5,,,,,,,Alginate was crosslinked partially  before printing.,
10.3390/pharmaceutics12060550,Cellink,BioX,Chitosan,1.2,wt%,Genipin,1,wt%,PEG,1.2,wt%,,,,Human Dermal Fibroblasts/ Primary Human Epidermal Keratinocytes Mix,1,Conical,22,Gauge,25,kPa,,,37,,,,4,,,,,,,,,,,,,,,,
10.3390/app10030768,EnvisionTEC,3D-Bioplotter,Alginate,3,wt%,Gelatin,8,wt%,,,,,,,,,Conical,400,µm,1.8,Bar,,,37,,,,10,,,,Chemical,CaCl2,3wt%,,,,,,,,,,
10.1021/acsami.6b11669,Orbital Mekatronik Systems,DTR2−2210T,Collagen,5,wt%,,,,,,,,,,MG63 Osteoblast-like Cells,2,Cylindrical,310,µm,300,kPa,110,kPa,10,,,,10,,,,Chemical,Genipin,1mM,,1440,,,,,,,Genipin was used to crosslink the collagen post printing.,
10.1021/acsami.6b11669,Orbital Mekatronik Systems,DTR2−2210T,Collagen,5,wt%,,,,,,,,,,Human Adipose-derived Stem Cells,2,Cylindrical,310,µm,300,kPa,110,kPa,10,,,,10,,,,Chemical,Genipin,1mM,,1440,,,,,,,Genipin was used to crosslink the collagen post printing.,
10.1016/j.jmbbm.2018.01.034,EnvisionTEC,3D-Bioplotter,Alginate,3,wt%,,,,,,,,,,,,Conical,200,µm,0.2,Bar,,,20,,,,6,,,,,,,,,,,,,,,Alginate was dispensed into 50mM CaCl2,
10.1088/1758-5090-aa8854,GeSiM,BioScaffolder,Alginate,2.8,wt%,Agarose,0.9,wt%,Methylcellulose,3,wt%,,,,Plant cells - Basil,,Conical,610,µm,100,kPa,80,kPa,25,,,,10,8,,,,,,,,,,,,,,1 g of concentrated biomass was mixed into 10 ml of hydrogel paste. Cr4osslinked with 0.1M CaCl2,
10.1016/j.actbio.2019.02.038,Other,Commercial Bioprinter,Alginate Methacrylated,9,wt%,,,,,,,,,,Human Mesenchymal Stem Cells,2,Cylindrical,210,µm,138,kPa,,,25,,,,10,,,,,,,,,LAP,0.0005g/ml,15,40,,,Several other bioink combinations tested. RGD peptide was added at 50mg/ml.,
10.1016/j.actbio.2019.02.038,Other,Commercial Bioprinter,Hyaluronic Acid Methacrylated,15,wt%,,,,,,,,,,Human Mesenchymal Stem Cells,2,Cylindrical,210,µm,552,kPa,,,25,,,,10,,,,,,,,,LAP,0.0005g/ml,5,40,,,Several other bioink combinations tested. RGD peptide was added at 50mg/ml.,
10.1016/j.actbio.2019.02.038,Other,Commercial Bioprinter,Pluronic F127,40,wt%,,,,,,,,,,,,Cylindrical,80,µm,414,kPa,,,25,,,,4,,,,,,,,,,,,,,,,
10.1016/j.actbio.2019.02.038,Other,Commercial Bioprinter,Pluronic F127,40,wt%,,,,,,,,,,,,Cylindrical,300,µm,414,kPa,,,25,,,,4,,,,,,,,,,,,,,,,
10.1016/j.actbio.2019.02.038,Other,Commercial Bioprinter,Pluronic F127,40,wt%,,,,,,,,,,,,Cylindrical,400,µm,414,kPa,,,25,,,,4,,,,,,,,,,,,,,,,
10.1088/1758-5090/8/2/025020,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,400,kPa,,,65,,,,2.5,,,,,,,,,,,,,10000,,Average MW of 10000 Da,
10.1088/1758-5090/8/2/025020,EnvisionTEC,3D-Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,800,kPa,,,90,,,,1.5,,,,,,,,,,,,,45000,,Average MW of 45000 Da ,
